entry_time,entry_price,stop_loss,take_profit,direction,status,quantity,new_high,exit_price,exit_time,close_reason,symbol,new_low,profit_pct
2025-02-05 09:35:31.712436,5.88,5.8212,6.0564,long,closed,247.0,5.88,5.8182894,2025-02-05 09:35:00,stop loss hit,OMUSDT,,-1.05
2025-02-05 09:35:31.712436,4.808,4.61952,4.66376,short,closed,316.69,,4.62182976,2025-02-05 09:37:00,stop loss hit,ATOMUSDT,4.608,3.87
2025-02-05 09:50:00.000000,0.18119055,0.18184425,0.1866262665,long,closed,0.001,0.1823,0.18175332,2025-02-05 09:51:00,stop loss hit,PNUTUSDT,,0.31
2025-02-05 09:51:00.000000,0.01275737,0.012756030000000002,0.013140091100000001,long,closed,0.001,0.012788,0.01274965,2025-02-05 09:52:00,stop loss hit,PENGUUSDT,,-0.06
2025-02-05 09:52:00.000000,0.0022171,0.0022134525,0.0022836130000000003,long,closed,0.001,0.002219,0.00221234,2025-02-05 09:57:00,stop loss hit,BOMEUSDT,,-0.21
2025-02-05 09:58:00.000000,19.70985,19.720575,20.3011455,long,closed,0.001,19.77,19.71071471,2025-02-05 09:59:00,stop loss hit,LINKUSDT,,0.0
2025-02-05 10:00:00.000000,4.6153065,4.5922299675,4.753765695,long,closed,0.001,4.6153065,4.58993385,2025-02-05 10:02:00,stop loss hit,RENDERUSDT,,-0.55
2025-02-05 10:03:00.000000,0.3115557,0.31112025000000004,0.320902371,long,closed,0.001,0.3119,0.31096468,2025-02-05 10:07:00,stop loss hit,POLUSDT,,-0.19
2025-02-05 10:02:00.000000,19.78989,19.780425,20.3835867,long,closed,0.001,19.83,19.77053478,2025-02-05 10:08:00,stop loss hit,LINKUSDT,,-0.1
2025-02-05 10:00:00.000000,3.26863349,3.2807775,3.3666924947,long,closed,0.001,3.289,3.27913711,2025-02-05 10:11:00,stop loss hit,FILUSDT,,0.32
2025-02-05 10:11:00.000000,10.315155,10.324125,10.624609650000002,long,closed,0.001,10.35,10.31896293,2025-02-05 10:14:00,stop loss hit,ARUSDT,,0.04
2025-02-05 10:08:00.000000,0.31185584,0.3134145,0.3212115152,long,closed,0.001,0.3142,0.31325779,2025-02-05 10:18:00,stop loss hit,POLUSDT,,0.45
2025-02-05 10:16:00.000000,19.92996,19.880175,20.5278588,long,closed,0.001,19.93,19.87023491,2025-02-05 10:20:00,stop loss hit,LINKUSDT,,-0.3
2025-02-05 10:22:00.000000,0.18569279,0.186732,0.1912635737,long,closed,0.001,0.1872,0.18663863,2025-02-05 10:23:00,stop loss hit,PNUTUSDT,,0.51
