pair,direction,entry_date,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,profit_pct,WIN/LOSS,ending_capital
FDUSDUSDT,short,2025-01-30,15:00,0.9994,0.9996,1.0000000000000002,16:00,1.0000000000000002,-0.28032230125626895,LOSS,99.52907609954795
BTCUSDT,short,2025-01-28,16:00,101637.18,101961.09,102608.91,17:00,101961.09,-1.6621631536083752,LOSS,98.33783684639162
BTCUSDT,short,2025-01-29,10:00,102250.01,102907.98,104223.92,11:00,104223.92,-3.1282532648225345,LOSS,95.26158025468852
ETHUSDT,short,2025-01-28,16:00,3170.95,3181.5,3202.6000000000004,17:00,3181.5,-1.0379694414783827,LOSS,94.27279416217546
XRPUSDT,short,2025-01-29,07:00,3.1486,3.1851,3.2580999999999993,08:00,3.2580999999999993,-4.04395162353715,LOSS,90.46044797210033
BTCUSDT,short,2025-01-28,16:00,101637.18,101961.09,102608.91,17:00,101961.09,-1.6621631536083752,LOSS,98.33783684639162
ETHUSDT,short,2025-01-28,16:00,3170.95,3181.5,3202.6000000000004,17:00,3181.5,-1.0379694414783827,LOSS,97.31712015051521
BTCUSDT,short,2025-01-26,23:00,105094.12,105200.0,105411.76000000001,00:00,105411.76000000001,-1.7787178695724069,LOSS,98.2212821304276
BTCUSDT,long,2025-01-27,04:00,104715.29,104500.0,105361.15999999997,05:00,104500.0,-1.6352246863888544,LOSS,96.61514347774319
ETHUSDT,short,2025-01-26,23:00,3342.32,3353.6,3376.1599999999994,00:00,3376.1599999999994,-1.8230334828636432,LOSS,94.85381706262717
ETHUSDT,long,2025-01-27,04:00,3305.98,3295.81,3336.4900000000002,05:00,3295.81,-1.1163541730741706,LOSS,93.79491251752839
FDUSDUSDT,short,2025-01-27,14:00,0.9999,1.0,1.0002,15:00,1.0002,-0.2502231610131551,LOSS,93.5602159225575
ETHUSDT,long,2025-01-25,19:00,3294.54,3268.66,3372.1800000000003,23:00,3268.66,-1.708026263325097,LOSS,98.2919737366749
SOLUSDT,long,2025-01-25,19:00,251.86,248.08,263.20000000000005,22:00,248.08,-1.0327903795930908,LOSS,97.27682368801035
XRPUSDT,long,2025-01-26,05:00,3.1145,3.098,3.1640000000000006,21:00,3.098,-1.3845214678859372,LOSS,95.9300051807723
ETHUSDT,short,2025-01-25,08:00,3399.66,3422.7,3468.7799999999997,09:00,3468.7799999999997,-3.039514649910961,LOSS,96.96048535008904
BTCUSDT,long,2025-01-24,05:00,101944.49,101683.6,102727.16,06:00,102727.16,-0.9884089842618762,LOSS,99.01159101573812
XRPUSDT,long,2025-01-23,21:00,3.1521,3.1394,3.190199999999999,22:00,3.1394,-1.4860963337427573,LOSS,97.54018339167285
FDUSDUSDT,long,2025-01-24,15:00,0.9993,0.9991,0.9998999999999999,00:00,0.9995,-0.14990107345150053,LOSS,97.39396960972218
ETHUSDT,long,2025-01-23,09:00,3278.39,3270.0,3303.5599999999995,10:00,3270.0,-1.491461782661417,LOSS,98.50853821733858
SOLUSDT,short,2025-01-23,08:00,256.09,262.63,275.71000000000004,09:00,275.71000000000004,-7.274294976501848,LOSS,91.34273657036931
XRPUSDT,short,2025-01-23,07:00,3.1796,3.2282,3.3254,08:00,3.3254,-5.72806168647916,LOSS,86.1105682735004
XRPUSDT,long,2025-01-23,13:00,3.2242,3.142,3.470800000000001,14:00,3.142,-3.634345833841151,LOSS,82.9810124229555
FDUSDUSDT,short,2025-01-23,00:00,1.0005,1.0006,1.0008,01:00,1.0008,-0.25020512859748867,LOSS,82.77338967411114
FDUSDUSDT,long,2025-01-23,09:00,0.9997,0.9995,1.0003,10:00,0.9995,-0.2398081271088429,LOSS,82.57489235858915
BTCUSDT,long,2025-01-21,20:00,102545.56,101064.87,106987.63,00:00,103307.51,-1.3010927767365508,LOSS,98.69890722326346
ETHUSDT,long,2025-01-21,20:00,3257.94,3228.5,3346.26,22:00,3346.26,1.2701690706371418,WIN,99.9525502158702
SOLUSDT,long,2025-01-21,23:00,232.46,232.21,233.21,00:00,233.21,0.643561971423901,WIN,100.59580681852792
ETHUSDT,short,2025-01-21,01:00,3382.59,3441.82,3560.28,02:00,3560.28,-6.851054275152169,LOSS,93.14894572484783
SOLUSDT,long,2025-01-20,17:00,252.42,236.68,299.63999999999993,00:00,236.68,-5.844391312400965,LOSS,87.70495683331174
BTCUSDT,short,2025-01-19,21:00,104984.01,105183.51,105582.51,22:00,105582.51,-2.9644809934975274,LOSS,97.03551900650247
BTCUSDT,short,2025-01-20,09:00,104936.35,105247.4,105869.49999999997,10:00,105247.4,-2.590209464670379,LOSS,94.52209580910402
SOLUSDT,short,2025-01-19,23:00,266.38,274.3,290.14000000000004,00:00,290.14000000000004,-8.212249506190398,LOSS,86.75970546278006
SOLUSDT,long,2025-01-20,17:00,252.42,236.68,299.63999999999993,00:00,236.68,-5.844391312400965,LOSS,81.68912877404868
XRPUSDT,short,2025-01-19,18:00,3.2683,3.2753,3.2893000000000003,19:00,3.2893000000000003,-2.1952695519183947,LOSS,79.89583220284457
XRPUSDT,long,2025-01-20,03:00,3.1362,3.05,3.394800000000001,17:00,3.05,-4.265112728958613,LOSS,76.48818489365364
FDUSDUSDT,short,2025-01-19,21:00,0.9996,0.9998,1.0002,22:00,1.0002,-0.2803102628021769,LOSS,76.27378066156562
FDUSDUSDT,short,2025-01-20,09:00,0.9993,0.9994,0.9995999999999999,10:00,0.9995999999999999,-0.2502412150828894,LOSS,76.08291222604846
SOLUSDT,short,2025-01-19,10:00,242.65,270.67,326.71000000000004,11:00,270.67,-10.874277789526717,LOSS,89.12572221047328
BTCUSDT,short,2025-01-18,03:00,101861.26,102288.0,103141.48000000001,04:00,102288.0,-3.063003819582327,LOSS,96.93699618041768
ETHUSDT,short,2025-01-17,21:00,3361.01,3377.49,3410.449999999999,22:00,3377.49,-2.577822386844523,LOSS,94.43813259174425
ETHUSDT,short,2025-01-18,10:00,3437.74,3448.5,3470.0200000000004,11:00,3470.0200000000004,-2.9274703176535084,LOSS,91.67348429157467
