entry_time,entry_price,SL,TP,exit_price,exit_time,profit,status,drawdown,direction,profit_pct
2023-05-01 04:00:00+00:00,0.0681,0.0677595,0.069462,0.0677595,2023-05-02 00:00:00+00:00,-0.004999999999999906,stopped,-0.014243759177679864,long,-0.5
2023-06-04 08:00:00+00:00,0.082,0.08159000000000001,0.08364,0.08159000000000001,2023-06-04 20:00:00+00:00,-0.004999999999999923,stopped,-0.02000000000000003,long,-0.5
2023-09-12 12:00:00+00:00,0.08218,0.0817691,0.0838236,0.0817691,2023-09-13 00:00:00+00:00,-0.0050000000000000695,stopped,-0.0386955463616452,long,-0.5
