entry_time,entry_price,SL,TP,exit_price,exit_time,profit,status,drawdown,direction,profit_pct
2024-07-19 12:00:00+00:00,4.678,4.65461,4.86512,4.65461,2024-07-20 00:00:00+00:00,-0.0050000000000000044,stopped,-0.05194527575887138,long,-0.5
2024-07-20 16:00:00+00:00,4.838,4.81381,5.03152,4.81381,2024-07-21 04:00:00+00:00,-0.004999999999999986,stopped,-0.03947912360479534,long,-0.5
2024-11-23 00:00:00+00:00,5.609,5.9201625,5.83336,5.9201625,2024-11-23 12:00:00+00:00,0.055475574968800144,stopped,-0.03262613656623281,long,5.55
