entry_time,entry_price,SL,TP,exit_price,exit_time,profit,status,drawdown,profit_pct
2024-02-17 12:00:00+00:00,0.7357,0.7857514999999999,0.779842,0.779842,2024-02-17 20:00:00+00:00,0.06000000000000002,target,-0.06592361016718769,6.0
2024-02-21 20:00:00+00:00,1.1455,1.134045,1.21423,1.134045,2024-02-22 08:00:00+00:00,-0.009999999999999995,stopped,-0.15015277171540806,-1.0
2024-03-06 12:00:00+00:00,2.2144,2.4656100000000003,2.347264,2.347264,2024-03-06 20:00:00+00:00,0.060000000000000046,target,-0.14094111271676293,6.0
