symbol,direction,current_price,sweep_price,fvg_price,gap_percent,candles_between,setup_quality
DUSDT,BEARISH,0.11529,0.13401,0.10334,22.886351764793666,4,A+
JUPUSDT,BULLISH,1.0936,1.256,1.0533,16.13853503184714,2,A+
PNUTUSDT,BULLISH,0.2562,0.6023,0.5089,15.507222314461222,4,A+
ACXUSDT,BULLISH,0.415,0.3872,0.4465,15.315082644628106,15,A+
DEXEUSDT,BULLISH,15.75,20.198,17.331,14.194474700465396,10,A+
VICUSDT,BULLISH,0.3358,0.4063,0.3493,14.029042579374845,18,A+
MOVEUSDT,BULLISH,0.8167,1.11,0.9582,13.675675675675677,15,A+
OSMOUSDT,BULLISH,0.3843,0.6021,0.5221,13.286829430327183,7,A+
CATIUSDT,BEARISH,0.2271,0.3572,0.3098,13.269876819708845,5,A+
CRVUSDT,BEARISH,0.7078,0.8153,0.9222,13.111738010548263,2,A+
ARKMUSDT,BEARISH,1.088,1.581,1.376,12.96647691334599,5,A+
AGLDUSDT,BULLISH,1.465,1.63,1.422,12.760736196319018,14,A+
PNUTUSDT,BEARISH,0.2562,0.6557,0.5739,12.475217324996187,6,A+
ZENUSDT,BEARISH,18.24,25.9,22.67,12.471042471042459,5,A+
FTTUSDT,BEARISH,2.0694,3.365,2.957,12.12481426448738,3,A+
ENAUSDT,BEARISH,0.6897,1.1085,0.9745,12.088407758231845,5,A+
TNSRUSDT,BEARISH,0.4141,0.4637,0.4081,11.990511106318737,5,A+
DYMUSDT,BEARISH,0.904,1.414,1.246,11.881188118811876,5,A+
WOOUSDT,BEARISH,0.156,0.2347,0.2069,11.844908393694075,5,A+
WLDUSDT,BEARISH,1.743,2.569,2.268,11.716621253406,4,A+
TAOUSDT,BEARISH,453.1,421.7,470.7,11.619634811477354,1,A+
ETHFIUSDT,BEARISH,1.534,2.219,1.964,11.491662911221265,5,A+
PROSUSDT,BEARISH,0.4417,0.5644,0.5003,11.357193479801566,5,A+
PENDLEUSDT,BEARISH,3.291,3.673,4.09,11.35311734277157,1,A+
ALPINEUSDT,BEARISH,1.118,1.445,1.282,11.280276816608998,5,A+
BBUSDT,BEARISH,0.2645,0.4182,0.3713,11.214729794356765,5,A+
OMNIUSDT,BEARISH,6.94,9.66,8.58,11.180124223602485,6,A+
COWUSDT,BULLISH,0.5471,0.7291,0.6479,11.137018241667802,5,A+
ZENUSDT,BULLISH,18.24,30.76,27.34,11.1183355006502,14,A+
PORTALUSDT,BEARISH,0.1961,0.3266,0.2916,10.716472749540715,5,A+
SCRUSDT,BEARISH,0.662,0.966,0.863,10.662525879917183,5,A+
DUSKUSDT,BEARISH,0.1562,0.2372,0.212,10.623946037099495,5,A+
PHBUSDT,BEARISH,1.356,1.638,1.464,10.62271062271062,5,A+
YGGUSDT,BEARISH,0.3138,0.5039,0.4504,10.617185949593171,5,A+
ACEUSDT,BEARISH,1.404,2.056,1.843,10.359922178988331,5,A+
