symbol,direction,zone_type,entry_price,stop_price,tp1,tp2,rr_ratio
ENJUSDT,LONG,demand,0.1476,0.1457,0.15330000000000005,0.16660000000000014,3.0
ARBUSDT,LONG,demand,0.5891,0.5849,0.6016999999999999,0.6310999999999998,3.0
TNSRUSDT,LONG,demand,0.368,0.3634,0.3818,0.4139999999999999,3.0
ZKUSDT,LONG,demand,0.1318,0.1305,0.1357,0.14479999999999996,3.0
