symbol,direction,zone_type,zone_accuracy,entry_price,stop_price,tp1_price,tp2_price,rr_ratio
XLMUSDT,LONG,DEMAND,normal,0.4021,0.4022,0.4024,0.4030999999999999,3.0
XLMUSDT,LONG,DEMAND,normal,0.4045,0.4023,0.41110000000000013,0.4265000000000004,3.0
XLMUSDT,LONG,DEMAND,normal,0.4043,0.403,0.4081999999999999,0.41729999999999967,3.0
XLMUSDT,LONG,DEMAND,normal,0.4038,0.4032,0.40559999999999996,0.4097999999999999,3.0
XLMUSDT,LONG,DEMAND,normal,0.4049,0.4042,0.4069999999999999,0.41189999999999977,3.0
ZECUSDT,LONG,DEMAND,normal,42.95,42.11,45.47000000000001,51.35000000000004,3.0
ZECUSDT,LONG,DEMAND,normal,43.04,42.35,45.10999999999999,49.939999999999976,3.0
ZECUSDT,LONG,DEMAND,normal,43.33,42.4,46.12,52.629999999999995,3.0
ZECUSDT,LONG,DEMAND,accuracy,42.76,43.07,43.690000000000005,45.86000000000002,3.0
ZECUSDT,LONG,DEMAND,normal,42.7,42.76,42.87999999999999,43.299999999999955,3.0
ZECUSDT,LONG,DEMAND,normal,43.0,43.04,43.12,43.39999999999999,3.0
ZECUSDT,LONG,DEMAND,normal,42.77,43.19,44.02999999999999,46.96999999999995,3.0
ZECUSDT,LONG,DEMAND,normal,42.9,43.29,44.07,46.800000000000004,3.0
ZECUSDT,LONG,DEMAND,normal,42.83,43.56,45.02000000000001,50.13000000000004,3.0
ZECUSDT,LONG,DEMAND,normal,42.91,43.66,45.16,50.41,3.0
ZECUSDT,LONG,DEMAND,normal,42.94,43.79,45.49,51.44000000000001,3.0
ZECUSDT,LONG,DEMAND,normal,43.41,43.94,45.0,48.71000000000001,3.0
ZECUSDT,LONG,DEMAND,normal,43.34,43.98,45.259999999999984,49.73999999999994,3.0
ZECUSDT,LONG,DEMAND,accuracy,43.27,44.26,46.23999999999999,53.16999999999995,3.0
ZECUSDT,LONG,DEMAND,normal,43.3,44.33,46.39,53.60000000000001,3.0
ZECUSDT,LONG,DEMAND,normal,42.92,44.38,47.300000000000004,57.52000000000001,3.0
ZECUSDT,LONG,DEMAND,normal,42.96,44.47,47.489999999999995,58.05999999999998,3.0
ZECUSDT,LONG,DEMAND,normal,43.01,44.29,46.85,55.81000000000001,3.0
ZECUSDT,LONG,DEMAND,accuracy,43.19,44.25,46.370000000000005,53.79000000000002,3.0
KAVAUSDT,SHORT,SUPPLY,accuracy,0.4256,0.4177,0.4014,0.4128178,3.063291139240521
KAVAUSDT,SHORT,SUPPLY,normal,0.424,0.4163,0.4002,0.4115414,3.0909090909090957
KAVAUSDT,SHORT,SUPPLY,normal,0.4273,0.4153,0.3913,0.40788399999999997,3.0
KAVAUSDT,SHORT,SUPPLY,normal,0.4279,0.4134,0.38439999999999996,0.404439,3.0
KAVAUSDT,SHORT,SUPPLY,normal,0.4405,0.422,0.38499999999999995,0.41056699999999996,3.0
KAVAUSDT,SHORT,SUPPLY,normal,0.4402,0.4203,0.38050000000000006,0.4080018,3.0
KAVAUSDT,SHORT,SUPPLY,normal,0.4409,0.42,0.3781999999999999,0.40708379999999994,3.0
KAVAUSDT,SHORT,SUPPLY,accuracy,0.4384,0.4189,0.37989999999999996,0.40684899999999996,3.0
KAVAUSDT,SHORT,SUPPLY,normal,0.4361,0.4223,0.39470000000000005,0.4137716,3.0
KAVAUSDT,SHORT,SUPPLY,normal,0.4373,0.4213,0.3893,0.411412,3.0
KAVAUSDT,SHORT,SUPPLY,normal,0.4359,0.4264,0.4071,0.420529,3.0315789473684176
KAVAUSDT,SHORT,SUPPLY,normal,0.4363,0.4255,0.4029,0.41882559999999996,3.0925925925925872
HIVEUSDT,LONG,DEMAND,accuracy,0.4006,0.4132,0.4384,0.5266,3.0
HIVEUSDT,LONG,DEMAND,normal,0.4088,0.4076,0.41239999999999993,0.4207999999999998,3.0
HIVEUSDT,LONG,DEMAND,accuracy,0.4105,0.4139,0.4207,0.4445000000000001,3.0
HIVEUSDT,LONG,DEMAND,normal,0.4126,0.4155,0.4212999999999999,0.4415999999999996,3.0
HIVEUSDT,LONG,DEMAND,normal,0.4116,0.4165,0.4262999999999999,0.4605999999999996,3.0
HIVEUSDT,LONG,DEMAND,accuracy,0.4101,0.4183,0.4347,0.49209999999999987,3.0
HIVEUSDT,LONG,DEMAND,accuracy,0.408,0.418,0.438,0.508,3.0
HIVEUSDT,LONG,DEMAND,normal,0.4103,0.4185,0.43489999999999995,0.49229999999999985,3.0
HIVEUSDT,LONG,DEMAND,accuracy,0.4048,0.4202,0.45100000000000007,0.5588000000000002,3.0
HIVEUSDT,LONG,DEMAND,normal,0.409,0.4173,0.43390000000000006,0.49200000000000027,3.0
HIVEUSDT,LONG,DEMAND,normal,0.4104,0.4177,0.4323000000000001,0.4834000000000003,3.0
HIVEUSDT,LONG,DEMAND,normal,0.409,0.4193,0.43990000000000007,0.5120000000000002,3.0
LRCUSDT,LONG,DEMAND,accuracy,0.1577,0.1629,0.17329999999999995,0.20969999999999983,3.0
LRCUSDT,LONG,DEMAND,normal,0.1626,0.1594,0.17220000000000002,0.19460000000000008,3.0
LRCUSDT,LONG,DEMAND,normal,0.1646,0.1604,0.17720000000000002,0.2066000000000001,3.0
LRCUSDT,LONG,DEMAND,normal,0.1639,0.1609,0.1729,0.19390000000000002,3.0
LRCUSDT,LONG,DEMAND,accuracy,0.1631,0.1611,0.1691,0.1831,3.0
LRCUSDT,LONG,DEMAND,normal,0.162,0.1622,0.16260000000000002,0.16400000000000006,3.0
